took 30274.8471901ec


mean: -0.08890, std: 0.02301, params: {'hidden0_num_units': 12, 'hidden1_num_units': 11}
mean: -0.08890, std: 0.02301, params: {'hidden0_num_units': 12, 'hidden1_num_units': 12}
mean: -0.08890, std: 0.02301, params: {'hidden0_num_units': 12, 'hidden1_num_units': 13}
mean: -0.08890, std: 0.02301, params: {'hidden0_num_units': 12, 'hidden1_num_units': 14}
mean: -0.07216, std: 0.01608, params: {'hidden0_num_units': 12, 'hidden1_num_units': 15}
mean: -0.07431, std: 0.01905, params: {'hidden0_num_units': 12, 'hidden1_num_units': 16}
mean: -0.07203, std: 0.01620, params: {'hidden0_num_units': 12, 'hidden1_num_units': 17}
mean: -0.07203, std: 0.01620, params: {'hidden0_num_units': 12, 'hidden1_num_units': 18}
mean: -0.07203, std: 0.01620, params: {'hidden0_num_units': 12, 'hidden1_num_units': 19}
mean: -0.07203, std: 0.01620, params: {'hidden0_num_units': 12, 'hidden1_num_units': 20}
mean: -0.07203, std: 0.01620, params: {'hidden0_num_units': 12, 'hidden1_num_units': 21}
mean: -0.06710, std: 0.01983, params: {'hidden0_num_units': 12, 'hidden1_num_units': 22}
mean: -0.05842, std: 0.00770, params: {'hidden0_num_units': 12, 'hidden1_num_units': 23}
mean: -0.05637, std: 0.00624, params: {'hidden0_num_units': 12, 'hidden1_num_units': 24}
mean: -0.05637, std: 0.00624, params: {'hidden0_num_units': 12, 'hidden1_num_units': 25}
mean: -0.05637, std: 0.00624, params: {'hidden0_num_units': 12, 'hidden1_num_units': 26}
mean: -0.05637, std: 0.00624, params: {'hidden0_num_units': 12, 'hidden1_num_units': 27}
mean: -0.05842, std: 0.00843, params: {'hidden0_num_units': 12, 'hidden1_num_units': 28}
mean: -0.05970, std: 0.00685, params: {'hidden0_num_units': 12, 'hidden1_num_units': 29}
mean: -0.05699, std: 0.00853, params: {'hidden0_num_units': 12, 'hidden1_num_units': 30}
mean: -0.05827, std: 0.00723, params: {'hidden0_num_units': 12, 'hidden1_num_units': 31}
mean: -0.05827, std: 0.00723, params: {'hidden0_num_units': 13, 'hidden1_num_units': 5}
mean: -0.05827, std: 0.00723, params: {'hidden0_num_units': 13, 'hidden1_num_units': 6}
mean: -0.05827, std: 0.00723, params: {'hidden0_num_units': 13, 'hidden1_num_units': 7}
mean: -0.06738, std: 0.01278, params: {'hidden0_num_units': 13, 'hidden1_num_units': 8}
mean: -0.06738, std: 0.01278, params: {'hidden0_num_units': 13, 'hidden1_num_units': 9}
mean: -0.06738, std: 0.01278, params: {'hidden0_num_units': 13, 'hidden1_num_units': 10}
mean: -0.06698, std: 0.01329, params: {'hidden0_num_units': 13, 'hidden1_num_units': 11}
mean: -0.06698, std: 0.01329, params: {'hidden0_num_units': 13, 'hidden1_num_units': 12}
mean: -0.06698, std: 0.01329, params: {'hidden0_num_units': 13, 'hidden1_num_units': 13}
mean: -0.06698, std: 0.01329, params: {'hidden0_num_units': 13, 'hidden1_num_units': 14}
mean: -0.07339, std: 0.01075, params: {'hidden0_num_units': 13, 'hidden1_num_units': 15}
mean: -0.07339, std: 0.01075, params: {'hidden0_num_units': 13, 'hidden1_num_units': 16}
mean: -0.07788, std: 0.01028, params: {'hidden0_num_units': 13, 'hidden1_num_units': 17}
mean: -0.07788, std: 0.01028, params: {'hidden0_num_units': 13, 'hidden1_num_units': 18}
mean: -0.07788, std: 0.01028, params: {'hidden0_num_units': 13, 'hidden1_num_units': 19}
mean: -0.07788, std: 0.01028, params: {'hidden0_num_units': 13, 'hidden1_num_units': 20}
mean: -0.08269, std: 0.01357, params: {'hidden0_num_units': 13, 'hidden1_num_units': 21}
mean: -0.08026, std: 0.01695, params: {'hidden0_num_units': 13, 'hidden1_num_units': 22}
mean: -0.08026, std: 0.01695, params: {'hidden0_num_units': 13, 'hidden1_num_units': 23}
mean: -0.07036, std: 0.01793, params: {'hidden0_num_units': 13, 'hidden1_num_units': 24}
mean: -0.07036, std: 0.01793, params: {'hidden0_num_units': 13, 'hidden1_num_units': 25}
mean: -0.07036, std: 0.01793, params: {'hidden0_num_units': 13, 'hidden1_num_units': 26}
mean: -0.07036, std: 0.01793, params: {'hidden0_num_units': 13, 'hidden1_num_units': 27}
mean: -0.06765, std: 0.01111, params: {'hidden0_num_units': 13, 'hidden1_num_units': 28}
mean: -0.06765, std: 0.01111, params: {'hidden0_num_units': 13, 'hidden1_num_units': 29}
mean: -0.06543, std: 0.01244, params: {'hidden0_num_units': 13, 'hidden1_num_units': 30}
mean: -0.06699, std: 0.01178, params: {'hidden0_num_units': 13, 'hidden1_num_units': 31}
mean: -0.06699, std: 0.01178, params: {'hidden0_num_units': 14, 'hidden1_num_units': 5}
mean: -0.06699, std: 0.01178, params: {'hidden0_num_units': 14, 'hidden1_num_units': 6}
mean: -0.06699, std: 0.01178, params: {'hidden0_num_units': 14, 'hidden1_num_units': 7}
mean: -0.06862, std: 0.01476, params: {'hidden0_num_units': 14, 'hidden1_num_units': 8}
mean: -0.06875, std: 0.01488, params: {'hidden0_num_units': 14, 'hidden1_num_units': 9}
mean: -0.06498, std: 0.01432, params: {'hidden0_num_units': 14, 'hidden1_num_units': 10}
mean: -0.06875, std: 0.01488, params: {'hidden0_num_units': 14, 'hidden1_num_units': 11}
mean: -0.06875, std: 0.01488, params: {'hidden0_num_units': 14, 'hidden1_num_units': 12}
mean: -0.06875, std: 0.01488, params: {'hidden0_num_units': 14, 'hidden1_num_units': 13}
mean: -0.06494, std: 0.01183, params: {'hidden0_num_units': 14, 'hidden1_num_units': 14}
mean: -0.06725, std: 0.00858, params: {'hidden0_num_units': 14, 'hidden1_num_units': 15}
mean: -0.07111, std: 0.01268, params: {'hidden0_num_units': 14, 'hidden1_num_units': 16}
mean: -0.06879, std: 0.01565, params: {'hidden0_num_units': 14, 'hidden1_num_units': 17}
mean: -0.07111, std: 0.01268, params: {'hidden0_num_units': 14, 'hidden1_num_units': 18}
mean: -0.07111, std: 0.01268, params: {'hidden0_num_units': 14, 'hidden1_num_units': 19}
mean: -0.07111, std: 0.01268, params: {'hidden0_num_units': 14, 'hidden1_num_units': 20}
mean: -0.07470, std: 0.01386, params: {'hidden0_num_units': 14, 'hidden1_num_units': 21}
mean: -0.08056, std: 0.00559, params: {'hidden0_num_units': 14, 'hidden1_num_units': 22}
mean: -0.07708, std: 0.00663, params: {'hidden0_num_units': 14, 'hidden1_num_units': 23}
mean: -0.08061, std: 0.00564, params: {'hidden0_num_units': 14, 'hidden1_num_units': 24}
mean: -0.08061, std: 0.00564, params: {'hidden0_num_units': 14, 'hidden1_num_units': 25}
mean: -0.08061, std: 0.00564, params: {'hidden0_num_units': 14, 'hidden1_num_units': 26}
mean: -0.08061, std: 0.00564, params: {'hidden0_num_units': 14, 'hidden1_num_units': 27}
mean: -0.06303, std: 0.01137, params: {'hidden0_num_units': 14, 'hidden1_num_units': 28}
mean: -0.06114, std: 0.00880, params: {'hidden0_num_units': 14, 'hidden1_num_units': 29}
mean: -0.07454, std: 0.01175, params: {'hidden0_num_units': 14, 'hidden1_num_units': 30}
mean: -0.06303, std: 0.01137, params: {'hidden0_num_units': 14, 'hidden1_num_units': 31}
mean: -0.06303, std: 0.01137, params: {'hidden0_num_units': 15, 'hidden1_num_units': 5}
mean: -0.06303, std: 0.01137, params: {'hidden0_num_units': 15, 'hidden1_num_units': 6}
mean: -0.06335, std: 0.01125, params: {'hidden0_num_units': 15, 'hidden1_num_units': 7}
mean: -0.05331, std: 0.00564, params: {'hidden0_num_units': 15, 'hidden1_num_units': 8}
mean: -0.05364, std: 0.00595, params: {'hidden0_num_units': 15, 'hidden1_num_units': 9}
mean: -0.06470, std: 0.00997, params: {'hidden0_num_units': 15, 'hidden1_num_units': 10}
mean: -0.05364, std: 0.00595, params: {'hidden0_num_units': 15, 'hidden1_num_units': 11}
mean: -0.05364, std: 0.00595, params: {'hidden0_num_units': 15, 'hidden1_num_units': 12}
mean: -0.05364, std: 0.00595, params: {'hidden0_num_units': 15, 'hidden1_num_units': 13}
mean: -0.05343, std: 0.00582, params: {'hidden0_num_units': 15, 'hidden1_num_units': 14}
mean: -0.05560, std: 0.00313, params: {'hidden0_num_units': 15, 'hidden1_num_units': 15}
