took 312.488506079ec


mean: -0.00793, std: 0.00196, params: {'max_depth': 23, 'min_samples_leaf': 6}
mean: -0.00583, std: 0.00005, params: {'max_depth': 23, 'min_samples_leaf': 7}
mean: -0.00910, std: 0.00195, params: {'max_depth': 23, 'min_samples_leaf': 8}
mean: -0.00835, std: 0.00172, params: {'max_depth': 23, 'min_samples_leaf': 9}
mean: -0.00771, std: 0.00016, params: {'max_depth': 23, 'min_samples_leaf': 10}
mean: -0.00946, std: 0.00163, params: {'max_depth': 23, 'min_samples_leaf': 11}
mean: -0.00997, std: 0.00188, params: {'max_depth': 23, 'min_samples_leaf': 12}
mean: -0.01051, std: 0.00150, params: {'max_depth': 23, 'min_samples_leaf': 13}
mean: -0.01319, std: 0.00021, params: {'max_depth': 23, 'min_samples_leaf': 14}
mean: -0.00288, std: 0.00407, params: {'max_depth': 24, 'min_samples_leaf': 1}
mean: -0.00137, std: 0.00001, params: {'max_depth': 24, 'min_samples_leaf': 2}
mean: -0.00252, std: 0.00004, params: {'max_depth': 24, 'min_samples_leaf': 3}
mean: -0.00516, std: 0.00232, params: {'max_depth': 24, 'min_samples_leaf': 4}
mean: -0.00746, std: 0.00212, params: {'max_depth': 24, 'min_samples_leaf': 5}
mean: -0.00795, std: 0.00194, params: {'max_depth': 24, 'min_samples_leaf': 6}
mean: -0.00718, std: 0.00189, params: {'max_depth': 24, 'min_samples_leaf': 7}
mean: -0.00779, std: 0.00179, params: {'max_depth': 24, 'min_samples_leaf': 8}
mean: -0.00964, std: 0.00166, params: {'max_depth': 24, 'min_samples_leaf': 9}
mean: -0.00895, std: 0.00183, params: {'max_depth': 24, 'min_samples_leaf': 10}
mean: -0.00952, std: 0.00172, params: {'max_depth': 24, 'min_samples_leaf': 11}
mean: -0.01012, std: 0.00153, params: {'max_depth': 24, 'min_samples_leaf': 12}
mean: -0.01051, std: 0.00150, params: {'max_depth': 24, 'min_samples_leaf': 13}
mean: -0.01095, std: 0.00178, params: {'max_depth': 24, 'min_samples_leaf': 14}
mean: -0.00552, std: 0.00390, params: {'max_depth': 25, 'min_samples_leaf': 1}
mean: -0.00562, std: 0.00300, params: {'max_depth': 25, 'min_samples_leaf': 2}
mean: -0.00438, std: 0.00265, params: {'max_depth': 25, 'min_samples_leaf': 3}
mean: -0.00352, std: 0.00005, params: {'max_depth': 25, 'min_samples_leaf': 4}
mean: -0.00593, std: 0.00210, params: {'max_depth': 25, 'min_samples_leaf': 5}
mean: -0.00660, std: 0.00206, params: {'max_depth': 25, 'min_samples_leaf': 6}
mean: -0.00724, std: 0.00204, params: {'max_depth': 25, 'min_samples_leaf': 7}
mean: -0.00774, std: 0.00183, params: {'max_depth': 25, 'min_samples_leaf': 8}
mean: -0.00969, std: 0.00178, params: {'max_depth': 25, 'min_samples_leaf': 9}
mean: -0.01018, std: 0.00170, params: {'max_depth': 25, 'min_samples_leaf': 10}
mean: -0.00834, std: 0.00005, params: {'max_depth': 25, 'min_samples_leaf': 11}
mean: -0.01008, std: 0.00160, params: {'max_depth': 25, 'min_samples_leaf': 12}
mean: -0.00934, std: 0.00022, params: {'max_depth': 25, 'min_samples_leaf': 13}
mean: -0.00979, std: 0.00016, params: {'max_depth': 25, 'min_samples_leaf': 14}
mean: -0.00000, std: 0.00000, params: {'max_depth': 26, 'min_samples_leaf': 1}
mean: -0.00785, std: 0.00018, params: {'max_depth': 26, 'min_samples_leaf': 2}
mean: -0.00437, std: 0.00261, params: {'max_depth': 26, 'min_samples_leaf': 3}
mean: -0.00350, std: 0.00003, params: {'max_depth': 26, 'min_samples_leaf': 4}
mean: -0.00593, std: 0.00209, params: {'max_depth': 26, 'min_samples_leaf': 5}
mean: -0.00660, std: 0.00206, params: {'max_depth': 26, 'min_samples_leaf': 6}
mean: -0.00585, std: 0.00006, params: {'max_depth': 26, 'min_samples_leaf': 7}
mean: -0.00648, std: 0.00007, params: {'max_depth': 26, 'min_samples_leaf': 8}
mean: -0.00832, std: 0.00178, params: {'max_depth': 26, 'min_samples_leaf': 9}
mean: -0.00775, std: 0.00016, params: {'max_depth': 26, 'min_samples_leaf': 10}
mean: -0.00941, std: 0.00166, params: {'max_depth': 26, 'min_samples_leaf': 11}
mean: -0.01002, std: 0.00161, params: {'max_depth': 26, 'min_samples_leaf': 12}
mean: -0.00934, std: 0.00015, params: {'max_depth': 26, 'min_samples_leaf': 13}
mean: -0.01206, std: 0.00164, params: {'max_depth': 26, 'min_samples_leaf': 14}
mean: -0.00000, std: 0.00000, params: {'max_depth': 27, 'min_samples_leaf': 1}
mean: -0.00138, std: 0.00000, params: {'max_depth': 27, 'min_samples_leaf': 2}
mean: -0.00435, std: 0.00255, params: {'max_depth': 27, 'min_samples_leaf': 3}
mean: -0.00517, std: 0.00231, params: {'max_depth': 27, 'min_samples_leaf': 4}
mean: -0.00587, std: 0.00214, params: {'max_depth': 27, 'min_samples_leaf': 5}
mean: -0.00657, std: 0.00195, params: {'max_depth': 27, 'min_samples_leaf': 6}
mean: -0.00995, std: 0.00012, params: {'max_depth': 27, 'min_samples_leaf': 7}
mean: -0.00647, std: 0.00008, params: {'max_depth': 27, 'min_samples_leaf': 8}
mean: -0.00842, std: 0.00167, params: {'max_depth': 27, 'min_samples_leaf': 9}
mean: -0.00892, std: 0.00162, params: {'max_depth': 27, 'min_samples_leaf': 10}
mean: -0.00955, std: 0.00156, params: {'max_depth': 27, 'min_samples_leaf': 11}
mean: -0.01002, std: 0.00161, params: {'max_depth': 27, 'min_samples_leaf': 12}
mean: -0.00928, std: 0.00024, params: {'max_depth': 27, 'min_samples_leaf': 13}
mean: -0.01206, std: 0.00141, params: {'max_depth': 27, 'min_samples_leaf': 14}
mean: -0.00000, std: 0.00000, params: {'max_depth': 28, 'min_samples_leaf': 1}
mean: -0.00356, std: 0.00310, params: {'max_depth': 28, 'min_samples_leaf': 2}
mean: -0.00618, std: 0.00259, params: {'max_depth': 28, 'min_samples_leaf': 3}
mean: -0.00518, std: 0.00239, params: {'max_depth': 28, 'min_samples_leaf': 4}
mean: -0.00441, std: 0.00005, params: {'max_depth': 28, 'min_samples_leaf': 5}
mean: -0.00797, std: 0.00205, params: {'max_depth': 28, 'min_samples_leaf': 6}
mean: -0.00726, std: 0.00203, params: {'max_depth': 28, 'min_samples_leaf': 7}
mean: -0.00906, std: 0.00180, params: {'max_depth': 28, 'min_samples_leaf': 8}
